District,School Code,School Name,Principal,Address,City,State,Zip,Phone,Fax,Email,Grade Levels,Total Students
HILLSBOROUGH,6639,FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE,HARVEY MAYNARD,6310 E SLIGH AVE,TAMPA,FL,33617-9107,(813) 985-3223,(813) 985-3199,Maynard.Harvey@sdhc.k12.fl.us,PREK-12 ,141
HILLSBOROUGH,7826,FLORIDA CONNECTIONS ACADEMY,MARCIE TROMBINO,5912 BRECKENRIDGE PKWY,TAMPA,FL,33610-4200,(813) 291-0550,,Marie.Trombino@sdhc.k12.fl.us,K-12 ,4010
HILLSBOROUGH,7672,FOCUS ACADEMY,ELISABETH KRAFT,304 DRUID HILLS RD,TEMPLE TERRACE,FL,33617-4127,(813) 433-5558,(813) 443-5630,Elisabeth.Kraft@sdhc.k12.fl.us,9-12 ,97
HILLSBOROUGH,6662,HENDERSON HAMMOCK CHARTER SCHOOL,JAMES GRIFFIN,10322 HENDERSON RD,TAMPA,FL,33625-4952,(813) 739-6633,(813) 739-6681,James.Griffin@sdhc.k12.fl.us,K-8 ,1185
HILLSBOROUGH,6671,HILLSBOROUGH ACADEMY OF MATH AND SCIENCE,BRITTNEY DEEN,9659 W WATERS AVE,TAMPA,FL,33635,(813) 793-6085,(813) 413-2984,Brittney.Deen@sdhc.k12.fl.us,K-8 ,874
HILLSBOROUGH,6620,HORIZON CHARTER SCHOOL OF TAMPA,SHEILA THOMLEY,7235 W HILLSBOROUGH AVE,TAMPA,FL,33634-4951,(813) 887-3800,(813) 885-9626,Sheila.Thomley@sdhc.k12.fl.us,K-8 ,327
HILLSBOROUGH,6637,INDEPENDENCE ACADEMY,JACK BURKETT,12902 E US HIGHWAY 92,DOVER,FL,33527-4139,(813) 473-8600,(813) 441-7160,Jack.Burkett@sdhc.k12.fl.us,K-8 ,920
HILLSBOROUGH,7813,KIDS COMMUNITY COLLEGE CHARTER HIGH SCHOOL,TIMOTHY KILPATRICK,10550 JOHANNA AVE,RIVERVIEW,FL,33578-4305,(813) 699-5751,(866) 511-7193,Timothy.Kilpatrick@sdhc.k12.fl.us,9-12 ,180
HILLSBOROUGH,6667,KIDS COMMUNITY COLLEGE CHARTER SCHOOL SOUTHEAST HILLSBOROUGH COUNTY,BRANDI TACKETT,11519 MCMULLEN RD,RIVERVIEW,FL,33569-6627,(813) 699-4600,(813) 671-1245,Brandi.Tackett@sdhc.k12.fl.us,K-6 ,362
HILLSBOROUGH,6626,KIDS COMMUNITY COLLEGE RIVERVIEW SOUTH,KAREN SEDER,10030 MATHOG RD,RIVERVIEW,FL,33578-5433,(813) 671-1440,(866) 511-7193,Karen.Seder@sdhc.k12.fl.us,K-8 ,572
HILLSBOROUGH,7821,KIDS COMMUNITY COLLEGE SOUTHEAST MIDDLE CHARTER SCHOOL,BRANDY TACKETT,11513 MCMULLEN RD,RIVERVIEW,FL,33569,(813) 699-5752,,Brandy.Tackett@sdhc.k12.fl.us,6-8 ,195
HILLSBOROUGH,6613,LEARNING GATE COMMUNITY SCHOOL,MICHELLE MASON,16215 HANNA RD,LUTZ,FL,33549-5701,(813) 948-4190,(813) 948-7587,Michelle.Mason@sdhc.k12.fl.us,K-8 ,828
HILLSBOROUGH,6621,LEGACY PREPARATORY ACADEMY,YOLONDA CAPERS,302 E. LINEBAUGH AVE,TAMPA,FL,33612-7425,(813) 253-0053,(813) 253-0182,Yolonda.Capers@sdhc.k12.fl.us,K-8 ,212
HILLSBOROUGH,7831,LITERACY LEADERSHIP TECHNOLOGY ACADEMY SOUTH BAY,LESLEY LOGAN,1090 NE 30TH STREET,RUSKIN,FL,33570,(813) 234-0940,(813) 234-0946,llesley.logan@sdhc.k12.fl.us,K-8 ,0
HILLSBOROUGH,6625,LITERACY/LEADERSHIP/TECHNOLOGY ACADEMY,JOANIE RUTHERFORD,1090 NE 30TH STREET,RUSKIN,FL,33570,(813) 234-0940,(813) 234-0946,JRutherford@lltacademy.com,K-8 ,589
HILLSBOROUGH,6655,LUTZ PREPARATORY SCHOOL,BONNIE GUERTIN,17951 N US HIGHWAY 41,LUTZ,FL,33549-4503,(813) 428-7100,(813) 426-7061,Bonnie.Guertin@sdhc.k12.fl.us,K-8 ,794
HILLSBOROUGH,7823,NAVIGATOR ACADEMY OF LEADERSHIP VALRICO,REBECCA VALDES,1101 E BLOOMINGDALE AVE,VALRICO,FL,33596-6108,(813) 603-9340,,Rebecca.Valdes@sdhc.k12.fl.us,K-8 ,585
HILLSBOROUGH,6657,NEW SPRINGS SCHOOLS,OGUZ TEKIN,2410 E BUSCH BLVD,TAMPA,FL,33612-8410,(813) 933-5025,(813) 572-9982,oguz.tekin@sdhc.k12.fl.us,K-8 ,451
HILLSBOROUGH,7817,OSCEOLA VIRTUAL FRANCHISE (SECONDARY),,1200 VERMONT AVE,ST CLOUD,FL,34769,(407) 870-4847,(407) 343-8641,Peter.Hodges@osceolaschools.net,K-8 ,0
HILLSBOROUGH,6609,PEPIN ACADEMIES,MONIKA PEREZ,3916 E HILLSBOROUGH AVE,TAMPA,FL,33610-4542,(813) 236-1755,(813) 236-1195,Monika.Perez@sdhc.k12.fl.us,3-12 ,817
HILLSBOROUGH,6656,PIVOT CHARTER SCHOOL,STEPHEN SCHINDLER,3020 S FALKENBURG RD,RIVERVIEW,FL,33578-2562,(813) 626-6724,(813) 626-6712,Stephen.Schindler@sdhc.k12.fl.us,6-12 ,235
HILLSBOROUGH,7814,PLATO ACADEMY TAMPA CHARTER SCHOOL,CHARITY EDMOND,4903 EHRLICH RD,TAMPA,FL,33624-2039,(813) 222-8687,,Charity.Edmond@sdhc.k12.fl.us,K-8 ,278
HILLSBOROUGH,6615,RCMA WIMAUMA COMMUNITY ACADEMY,MARK HAGGETT,18240 US HIGHWAY 301 S,WIMAUMA,FL,33598-4307,(813) 672-5159,(813) 633-6119,Mark.Haggett@sdhc.k12.fl.us,K-8 ,339
HILLSBOROUGH,7818,RIVERVIEW ACADEMY OF MATH AND SCIENCE,MARCY RINGDAHL,9906 SYMMES RD,RIVERVIEW,FL,33578-9426,(813) 412-6111,,Marcy.Ringdahl@sdhc.k12.fl.us,K-8 ,769
HILLSBOROUGH,6646,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL,"DONALD RUGRAFF, JR",4006 N FLORIDA AVE,TAMPA,FL,33603-3816,(813) 234-0809,(813) 236-2406,Donald.Rugraff@sdhc.k12.fl.us,9-12 ,215
HILLSBOROUGH,7825,SLAM ACADEMY AT APOLLO BEACH,MEREDITH WILLIAMSON,5150 N US HWY 41,APOLLO BEACH,FL,33572-3500,(813) 773-4560,,Meredith.Williamson@sdhc.k12.fl.us,K-12 ,673
HILLSBOROUGH,7806,SOUTHSHORE CHARTER ACADEMY,CECILIA GARCIA,11667 BIG BEND RD,RIVERVIEW,FL,33579,(813) 769-1209,(813) 769-2161,Cecilia.Garcia@sdhc.k12.fl.us,K-8 ,1084
HILLSBOROUGH,7815,SPORTS LEADERSHIP AND MANAGEMENT ACADEMY (TAMPA),BRETT KUSHNER,7116 GUNN HWY,TAMPA,FL,33625-3106,(813) 920-8802,,Brett.Kushner@sdhc.k12.fl.us,6-12 ,378
HILLSBOROUGH,7681,SUNLAKE ACADEMY OF MATH AND SCIENCES,JUDITH MOORE,18681 N DALE MABRY HWY,LUTZ,FL,33548-7902,(813) 619-5099,(813) 343-6099,Judith.Moore@sdhc.k12.fl.us,K-8 ,792
HILLSBOROUGH,6606,TERRACE COMMUNITY MIDDLE SCHOOL,TAHVIA SHAW,11734 JEFFERSON RD,THONOTOSASSA,FL,33592-2101,(813) 987-6555,(813) 324-8974,Tahvia.Shaw@sdhc.k12.fl.us,6-8 ,687
HILLSBOROUGH,7822,THE COLLABORATORY PREPARATORY ACADEMY,HEATHER JENKINS,6406 E CHELSEA ST,TAMPA,FL,33610-5628,(844) 702-3123,,Heather.Jenkins@sdhc.k12.fl.us,K-8 ,117
HILLSBOROUGH,6624,TRINITY SCHOOL FOR CHILDREN,MADELINE O'DEA,2402 W OSBORNE AVE,TAMPA,FL,33603-1434,(813) 874-2402,(813) 272-2412,Madeline.Odea@sdhc.k12.fl.us,K-8 ,915
HILLSBOROUGH,6649,VALRICO LAKE ADVANTAGE ACADEMY,LAUREN HERBERT,13306 BOYETTE RD,RIVERVIEW,FL,33569-5741,(813) 699-5049,(813) 681-2121,Lauren.Herbert@sdhc.k12.fl.us,K-5 ,916
HILLSBOROUGH,7811,VICTORY CHARTER SCHOOL TAMPA,DON WOODRUFF,13901 SHELDON RD,TAMPA,FL,33625,(813) 551-2144,(888) 799-3166,don.woodruff@sdhc.k12.fl.us,K-8 ,367
HILLSBOROUGH,6608,VILLAGE OF EXCELLENCE ACADEMY,ROMAINE EDWARDS,8718 N 46TH ST,TEMPLE TERRACE,FL,33617-6002,(813) 988-8632,(813) 983-0683,Romaine.Edwards@sdhc.k12.fl.us,K-5 ,230
HILLSBOROUGH,7680,VILLAGE OF EXCELLENCE ACADEMY MIDDLE SCHOOL,LAKEISHA WALKER,4600 E BUSCH BLVD,TAMPA,FL,33617-0000,(813) 374-9972,(813) 304-2202,Lakeisha.Walker@sdhc.k12.fl.us,6-8 ,106
HILLSBOROUGH,6623,WALTON ACADEMY,TANIKA WALTON,4817 N FLORIDA AVE,TAMPA,FL,33603-2117,(813) 231-9272,(813) 231-9271,Tanika.Walton@sdhc.k12.fl.us,K-5 ,161
HILLSBOROUGH,7805,WATERSET CHARTER SCHOOL,BRADLEY WARREN,6540 KNOWLEDGE LN,APOLLO BEACH,FL,33572,(813) 602-0622,(813) 602-0623,Bradley.Warren@sdhc.k12.fl.us,K-8 ,1170
HILLSBOROUGH,6659,WEST UNIVERSITY CHARTER HIGH,BOBBY SMITH,11602 N 15TH ST,TAMPA,FL,33612-6086,(813) 971-5011,(866) 833-7213,Bobby.Smith@sdhc.k12.fl.us,9-12 ,307
HILLSBOROUGH,6658,WINTHROP CHARTER SCHOOL,TERRY JOHNSON,6204 SCHOLARS HILL LN,RIVERVIEW,FL,33578-4298,(813) 235-4811,(813) 315-4403,Terry.Johnson@sdhc.k12.fl.us,K-8 ,1331
HILLSBOROUGH,7832,WINTHROP COLLEGE PREP ACADEMY,CHRISTOPHER HAMMILL,12802 US HGWY 301,RIVERVIEW,FL,33578,(813) 678-2030,,Christopher.Hammill@sdhc.k12.fl.us,9-12 ,0
HILLSBOROUGH,6653,WOODMONT CHARTER SCHOOL,CUWANA LAWSON,10402 N 56TH ST,TEMPLE TERRACE,FL,33617-3637,(813) 708-1596,(813) 739-7301,Cuwana.Lawson@sdhc.k12.fl.us,K-8 ,787
