OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1094665,2018-630199          ,FRAUD,FRAUD-SWINDLE,9/10/2018,3600 BLOCK PALM CROSSING DR,33613
1098432,2018-670574          ,ASSAULT,AGGRAVATED ASSAULT,9/26/2018,14300 BLOCK LUCERNE DR,33613
1101263,2018-702919          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,10/8/2018,1400 BLOCK 139TH AV E,33613
1100178,2018-690463          ,TRAFFIC,Property Damage,10/3/2018,FLETCHER AV E / BRUCE B DOWNS BL,33613
1087626,2018-552038          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,8/10/2018,3400 BLOCK JEFFERSON COMMONS DR,33613
1101157,2018-701543          ,TRAFFIC,Property Damage,10/8/2018,BRUCE B DOWNS BL / FLETCHER AV E,33613
1099302,2018-682073          ,TRAFFIC,Property Damage,9/30/2018,BRUCE B DOWNS BL / BEARSS AV E,33613
1102325,2018-713874          ,BURGLARY,BURGLARY RESIDENCE / FORCED,10/12/2018,1100 BLOCK DOGWOOD AV,33613
1092518,2018-604842          ,DUI,DUI (DRIVING UNDER INFLUENCE),8/31/2018,LIVINGSTON AV / BEARSS AV E,33613
1092647,2018-608581          ,THEFT,THEFT FROM A BUILDING,9/1/2018,3500 BLOCK JEFFERSON COMMONS DR,33613
1104091,2018-732479          ,THEFT,GRAND THEFT - ALL OTHER,10/20/2018,1700 BLOCK CAPE BEND AV,33613
1095263,2018-635363          ,THEFT,PETIT THEFT - ALL OTHER,9/12/2018,14600 BLOCK NORWOOD OAKS DR,33613
1096368,2018-652173          ,TRAFFIC,Property Damage,9/18/2018,BEARSS AV W / WINDING CREEK DR,33613
1107048,2018-761954          ,THEFT,SHOPLIFTING,11/1/2018,14900 BLOCK BRUCE B DOWNS BL,33613
1110600,2018-799732          ,TRAFFIC,Property Damage,11/17/2018,BEARSS AV W / FLORIDA AV N,33613
1120195,2018-898923          ,BATTERY,BATTERY-SIMPLE,12/30/2018,1500 BLOCK 138TH AV E,33613
1120238,2018-902855          ,THEFT,SHOPLIFTING,12/31/2018,13600 BLOCK UNIVERSITY PZ,33613
1120344,2018-902420          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,12/31/2018,2200 BLOCK BEARSS AV E,33613
1111662,2018-810905          ,BATTERY,BATTERY-SIMPLE,11/22/2018,1500 BLOCK 138TH AV E,33613
1113726,2018-832911          ,MISCHIEF,CRIMINAL MISCHIEF FELONY,12/2/2018,14000 BLOCK 15TH ST N,33613
1114556,2018-841092          ,FRAUD,FRAUD-SWINDLE,12/5/2018,15300 BLOCK NEBRASKA AV N,33613
1123046,2019-29736           ,TRAFFIC,Property Damage,1/13/2019,FLETCHER AV E / 46TH ST N,33613
1118386,2018-881117          ,TRAFFIC,Non Incapacitating Injury,12/21/2018,FLETCHER AV E / 20TH ST N,33612
1121091,2019-8893            ,BATTERY,BATTERY-SIMPLE,1/4/2019,1800 BLOCK FRENCH CREEK RD,33613
1121131,2019-9855            ,BATTERY,BATTERY-SIMPLE,1/4/2019,13800 BLOCK SANDY HILL LP,33613
1126086,2019-61164           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/26/2019,14300 BLOCK HENSEL LN,33613
1126152,2019-62926           ,BURGLARY,THEFT FROM A VEHICLE,1/27/2019,700 BLOCK 137TH AV E,33613
1130746,2019-112945          ,TRAFFIC,Property Damage,2/15/2019,42ND ST N / BRUCE B DOWNS BL,33613
1131725,2019-125046          ,THEFT,SHOPLIFTING,2/20/2019,1900 BLOCK BEARSS AV E,33613
1127812,2019-81925           ,ROBBERY,PERSON - ROBBERY,2/3/2019,1200 BLOCK 143RD AV E,33613
1127852,2019-82364           ,DRUGS,DRUGS/NARCOTICS,2/4/2019,BEARSS AV E / NEBRASKA AV N,33549
1132641,2019-132321          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,2/23/2019,200 BLOCK WINDWOOD OAKS DR,33613
1107981,2018-773217          ,FRAUD,FRAUD-OTHER,11/6/2018,14500 BLOCK BRUCE B DOWNS BL,33613
1134513,2019-152433          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,3/3/2019,3900 BLOCK ROCKY CR,33613
1135532,2019-166444          ,BATTERY,BATTERY-SIMPLE,3/8/2019,2200 BLOCK SPRING GLADE CR N,33613
1144131,2019-261465          ,BURGLARY,BURGLARY RESIDENCE / FORCED,4/15/2019,13700 BLOCK 19TH ST N,33613
1136597,2019-176365          ,THEFT,SHOPLIFTING,3/12/2019,15300 BLOCK NEBRASKA AV N,33613
1139322,2019-207716          ,DRUGS,DRUGS/NARCOTICS,3/25/2019,142ND AV E / 15TH ST N,33613
1143321,2019-251297          ,FRAUD,FRAUD-OTHER,4/11/2019,15400 BLOCK LAKESHORE VILLA RD,33549
1149853,2019-321171          ,BATTERY,BATTERY-SIMPLE,5/8/2019,13600 BLOCK 22ND ST N,33613
1150703,2019-328685          ,THEFT,THEFT MOTOR VEHICLE PARTS,5/11/2019,14500 BLOCK PRISM CR,33613
1160444,2019-437808          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,6/22/2019,2900 BLOCK LAKESIDE COMMONS DR,33613
1155449,2019-380055          ,THEFT,SHOPLIFTING,5/31/2019,13500 BLOCK UNIVERSITY PZ,33613
1156743,2019-395358          ,BATTERY,BATTERY-SIMPLE,6/6/2019,4100 BLOCK ASHFORD GREEN PL,33613
1156806,2019-397906          ,TRAFFIC,Property Damage,6/6/2019,FLETCHER AV E  /  42ND ST N,33613
1141297,2019-227459          ,TRAFFIC,Property Damage,4/2/2019,FLETCHER AV E / 20TH ST N,33612
1141300,2019-228133          ,TRAFFIC,Non Incapacitating Injury,4/2/2019,BEARSS AV E / 22ND ST N,33613
1162276,2019-458986          ,BATTERY,BATTERY-SIMPLE,6/30/2019,14500 BLOCK 46TH ST N,33613
1155701,2019-384411          ,BATTERY,BATTERY-SIMPLE,6/1/2019,14400 BLOCK HELLENIC DR,33613
1157341,2019-401525          ,BURGLARY,BURGLARY BUSINESS/ FORCED,6/8/2019,14900 BLOCK FLORIDA AV N,33613
1160235,2019-436318          ,THEFT,THEFT OF BICYCLE,6/21/2019,1500 BLOCK 138TH AV E,33613
1165316,2019-500010          ,DRUGS,DRUGS/NARCOTICS,7/15/2019,I275 S BEARSS RP  /  BEARSS I275 S RP,33613
1168001,2019-532368          ,FRAUD,FRAUD-SWINDLE,7/27/2019,15300 BLOCK NEBRASKA AV N,33613
1168018,2019-531355          ,THEFT,THEFT MOTOR VEHICLE PARTS,7/27/2019,1500 BLOCK 139TH AV E,33613
1168210,2019-533302          ,THEFT,SHOPLIFTING,7/28/2019,1900 BLOCK BEARSS AV E,33613
1165084,2019-493981          ,DUI,DUI (DRIVING UNDER INFLUENCE),7/13/2019,FLETCHER AV E  /  42ND ST N,33613
1171124,2019-564596          ,FRAUD,FRAUD-SWINDLE,8/9/2019,2200 BLOCK BEARSS AV E,33613
1158555,2019-415265          ,THEFT,SHOPLIFTING,6/13/2019,13600 BLOCK UNIVERSITY PZ,33613
1174785,2019-606965          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,8/25/2019,1800 BLOCK 138TH AV E,33613
1177404,2019-640636          ,MURDER,HOMICIDES,9/6/2019,13500 BLOCK GRAGSTON CR,33613
1177616,2019-639869          ,FRAUD,FRAUD-OTHER,9/6/2019,14000 BLOCK SHADY SHORES DR,33613
1177676,2019-642276          ,THEFT,THEFT OF BICYCLE,9/7/2019,14300 BLOCK LUCERNE DR,33613
1178340,2019-650904          ,TRAFFIC,Property Damage,9/10/2019,LIVINGSTON AV  /  BEARSS AV E,33559
1178446,2019-651251          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,9/10/2019,4000 BLOCK WOODSPRING LN,33613
1179531,2019-663837          ,TRAFFIC,Property Damage,9/15/2019,BEARSS AV E  /  GREGORY DR,33613
1186335,2019-738828          ,TRAFFIC,Non Incapacitating Injury,10/14/2019,FLETCHER AV E  /  USF MAGNOLIA DR,33613
1182276,2019-695893          ,THEFT,SHOPLIFTING,9/27/2019,100 BLOCK BEARSS AV W,33613
1190016,2019-780707          ,THEFT,SHOPLIFTING,10/30/2019,15300 BLOCK NEBRASKA AV N,33613
1196677,2019-857189          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,11/30/2019,14300 BLOCK LUCERNE DR,33613
1197444,2019-866689          ,TRAFFIC,Property Damage,12/4/2019,BRUCE B DOWNS BL  /  SKIPPER RD,33613
1200398,2019-901006          ,DRUGS,DRUGS/NARCOTICS,12/17/2019,1400 BLOCK 140TH AV E,33613
1198569,2019-880155          ,TRAFFIC,Property Damage,12/9/2019,46TH ST N  /  WINDING MOSS TL,33613
1206123,2020-31034           ,BATTERY,BATTERY-SIMPLE,1/13/2020,13800 BLOCK KAPOK CT,33613
1176634,2019-627847          ,BURGLARY,BURGLARY WITH ASSAULT/BATTERY,9/2/2019,13700 BLOCK 19TH ST N,33613
1206335,2020-36057           ,TRAFFIC,Property Damage,1/14/2020,FLETCHER AV E  /  42ND ST N,33613
1201549,2019-915394          ,THEFT,SHOPLIFTING,12/21/2019,13600 BLOCK UNIVERSITY PZ,33613
1202167,2019-920185          ,BATTERY,BATTERY-SIMPLE,12/25/2019,139TH AV E  /  20TH ST N,33613
1202230,2019-919362          ,DUI,DUI (DRIVING UNDER INFLUENCE),12/25/2019,FLETCHER AV E  /  31ST ST N,33613
1205293,2020-22458           ,BATTERY,BATTERY-AGGRAVATED,1/9/2020,1800 BLOCK FRENCH CREEK RD,33613
1210846,2020-90042           ,BURGLARY,BURGLARY RESIDENCE / FORCED,2/3/2020,3500 BLOCK JEFFERSON COMMONS DR,33613
1208164,2020-57194           ,TRAFFIC,Property Damage,1/22/2020,BRUCE B DOWNS BL  /  COVE BEND DR,33613
1207311,2020-47169           ,TRAFFIC,Property Damage,1/18/2020,FLETCHER AV E  /  USF MAGNOLIA DR,33613
1194550,2019-830904          ,THEFT,SHOPLIFTING,11/19/2019,15300 BLOCK NEBRASKA AV N,33613
1204145,2020-8706            ,THEFT,THEFT OF BICYCLE,1/4/2020,13500 BLOCK UNIVERSITY PZ,33613
1204271,2020-9001            ,THEFT,SHOPLIFTING,1/4/2020,15300 BLOCK NEBRASKA AV N,33613
1204337,2020-11807           ,TRAFFIC,Property Damage,1/5/2020,137TH AV E  /  15TH ST N,33613
1195615,2019-843476          ,THEFT,PETIT THEFT - ALL OTHER,11/24/2019,14500 BLOCK 46TH ST N,33613
1211908,2020-100179          ,THEFT,THEFT VEHICLE & OTHER MOBILE,2/7/2020,13800 BLOCK PINE CONE CT,33613
1216737,2020-158936          ,TRAFFIC,Property Damage,2/28/2020,13700 BLOCK NEBRASKA AV N,33613
1208994,2020-65756           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/25/2020,BEARSS AV W  /  NORTHWOOD VLG LN,33613
1214971,2020-137923          ,TRAFFIC,Property Damage,2/20/2020,FLETCHER AV E  /  USF MAGNOLIA DR,33613
1217928,2020-171350          ,THEFT,THEFT OF BICYCLE,3/4/2020,1800 BLOCK FRENCH CREEK RD,33613
1219336,2020-189243          ,TRAFFIC,Non Incapacitating Injury,3/11/2020,BRUCE B DOWNS BL  /  LAKE FOREST DR,33613
1219482,2020-188939          ,DRUGS,DRUG PARAPHERNALIA,3/11/2020,143RD AV E  /  CAPRI CT,33613
1218483,2020-178904          ,THEFT,PETIT THEFT - ALL OTHER,3/7/2020,14600 BLOCK NEBRASKA AV N,33613
1218655,2020-182111          ,THEFT,PETIT THEFT - ALL OTHER,3/8/2020,13700 BLOCK 42ND ST N,33613
1227437,2020-294641          ,THEFT,THEFT OF BICYCLE,5/2/2020,14200 BLOCK CYBER PL,33613
1229120,2020-315740          ,THEFT,THEFT MOTOR VEHICLE PARTS,5/12/2020,13600 BLOCK 12TH ST N,33613
1228207,2020-303394          ,FRAUD,FRAUD-SWINDLE,5/6/2020,14900 BLOCK FLORIDA AV N,33613
1213800,2020-123777          ,THEFT,PETIT THEFT - ALL OTHER,2/15/2020,1400 BLOCK 137TH AV E,33613
1238629,2020-430015          ,THEFT,PETIT THEFT - ALL OTHER,7/2/2020,13700 BLOCK SUSAN KAY DR,33613
1234759,2020-384428          ,THEFT,GRAND THEFT - ALL OTHER,6/11/2020,14200 BLOCK CYBER PL,33613
1210228,2020-80505           ,TRAFFIC,Property Damage,1/31/2020,46TH ST N  /  SKIPPER RD,33613
1234905,2020-385330          ,TRAFFIC,Property Damage,6/12/2020,COVE BEND DR  /  30TH ST N,33613
1238755,2020-432825          ,TRAFFIC,Non Incapacitating Injury,7/3/2020,138TH AV E  /  NEBRASKA AV N,33613
1212761,2020-111608          ,THEFT,THEFT OF BICYCLE,2/11/2020,4000 BLOCK ROCKY CR,33613
1231204,2020-338855          ,ASSAULT,AGGRAVATED ASSAULT,5/22/2020,14000 BLOCK NEBRASKA AV N,33613
1231224,2020-339061          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,5/22/2020,14900 BLOCK BOULEVARD N,33613
1231951,2020-350364          ,FRAUD,FRAUD-CREDIT CARD,5/27/2020,4000 BLOCK WOODSPRING LN,33613
1235632,2020-394576          ,TRAFFIC,Property Damage,6/16/2020,BRUCE B DOWNS BL  /  SKIPPER RD,33613
1236033,2020-400152          ,TRAFFIC,Non Incapacitating Injury,6/18/2020,BRUCE B DOWNS BL  /  COVE BEND DR,33613
1237610,2020-420013          ,TRAFFIC,Property Damage,6/27/2020,BEARSS AV E  /  22ND ST N,33613
1237630,2020-420177          ,FRAUD,FRAUD-SWINDLE,6/27/2020,15300 BLOCK NEBRASKA AV N,33613
1212163,2020-102599          ,BATTERY,BATTERY-SIMPLE,2/8/2020,13800 BLOCK 21ST ST N,33613
1248436,2020-548959          ,TRAFFIC,Property Damage,8/26/2020,SOMERSET PARK DR  /  BEARSS AV E,33613
1241503,2020-465734          ,FRAUD,FRAUD-SWINDLE,7/18/2020,15300 BLOCK NEBRASKA AV N,33613
1241692,2020-466973          ,THEFT,SHOPLIFTING,7/19/2020,14500 BLOCK NEBRASKA AV N,33613
1241735,2020-469761          ,THEFT,SHOPLIFTING,7/20/2020,15300 BLOCK NEBRASKA AV N,33613
1242608,2020-480375          ,DRUGS,DRUGS/NARCOTICS,7/25/2020,136TH AV E  /  19TH ST N,33613
1243352,2020-488709          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,7/29/2020,14400 BLOCK HELLENIC DR,33613
1243372,2020-489773          ,DUI,DUI (DRIVING UNDER INFLUENCE),7/29/2020,1200 BLOCK 142ND AV E,33613
1243375,2020-489740          ,BATTERY,BATTERY-SIMPLE,7/29/2020,14500 BLOCK HENSEL LN,33613
1247354,2020-536938          ,TRAFFIC,Non Incapacitating Injury,8/20/2020,BRUCE B DOWNS BL  /  COVE BEND DR,33613
1257859,2020-659410          ,BURGLARY,BURGLARY RESIDENCE / FORCED,10/13/2020,1400 BLOCK 138TH AV E,33613
1253056,2020-602411          ,TRAFFIC,Property Damage,9/19/2020,42ND ST N  /  CAMBRIDGE WOODS DR,33613
1264523,2020-1502923         ,THEFT,SHOPLIFTING,11/13/2020,13600 BLOCK UNIVERSITY PZ,33613
1255031,2020-626349          ,TRAFFIC,Property Damage,9/29/2020,BEARSS AV E  /  18TH ST N,33613
1260438,2020-686146          ,FRAUD,FRAUD-OTHER,10/24/2020,2100 BLOCK 142ND AV E,33613
1264646,2020-737100          ,BATTERY,BATTERY-SIMPLE,11/14/2020,400 BLOCK FLORAL DR,33613
1266097,2020-752587          ,DUI,DUI (DRIVING UNDER INFLUENCE),11/21/2020,FLORIDA AV N  /  BEARSS AV W,33613
1261669,2020-700071          ,BURGLARY,THEFT FROM A VEHICLE,10/30/2020,14200 BLOCK 42ND ST N,33613
1261795,2020-701221          ,THEFT,SHOPLIFTING,10/30/2020,15300 BLOCK NEBRASKA AV N,33613
1266286,2020-755787          ,HARASS,HARASSING/OBSCENE,11/22/2020,14000 BLOCK HALSTEAD CT,33613
1266306,2020-756120          ,TRAFFIC,Property Damage,11/22/2020,3600 BLOCK DATA DR,33613
1266458,2020-756843          ,DUI,DUI (DRIVING UNDER INFLUENCE),11/23/2020,138TH AV E  /  19TH ST N,33613
1268287,2020-780904          ,TRAFFIC,Property Damage,12/3/2020,BEARSS AV E  /  30TH ST N,33613
1268350,2020-1503133         ,THEFT,PETIT THEFT - ALL OTHER,12/3/2020,14500 BLOCK 46TH ST N,33613
1265393,2020-746394          ,ASSAULT,AGGRAVATED ASSAULT,11/18/2020,1500 BLOCK 139TH AV E,33613
1265436,2020-746366          ,BATTERY,FELONY BATTERY,11/18/2020,14500 BLOCK HENSEL LN,33613
1279711,2021-65605           ,THEFT,THEFT FROM A BUILDING,1/30/2021,14400 BLOCK HELLENIC DR,33613
1279731,2021-64546           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/30/2021,BEARSS AV E  /  NEBRASKA AV N,33549
1265582,2020-749144          ,TRAFFIC,Non Incapacitating Injury,11/19/2020,142ND AV E  /  NEBRASKA AV N,33613
1270156,2020-801371          ,BURGLARY,THEFT FROM A VEHICLE,12/12/2020,138TH AV E  /  15TH ST N,33613
1270182,2020-800289          ,BATTERY,BATTERY-SIMPLE,12/12/2020,14600 BLOCK 42ND ST N,33613
1267288,2020-769689          ,THEFT,PETIT THEFT - ALL OTHER,11/28/2020,1900 BLOCK 139TH AV E,33613
1267351,2020-769495          ,BATTERY,BATTERY-SIMPLE,11/28/2020,1800 BLOCK 139TH AV E,33613
1272011,2020-822515          ,TRAFFIC,Non Incapacitating Injury,12/21/2020,FLORIDA AV N  /  CONNIE AV,33613
1272094,2020-822724          ,BURGLARY,THEFT FROM A VEHICLE,12/21/2020,14200 BLOCK CYBER PL,33613
1278798,2021-52714           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/25/2021,3700 BLOCK JEFFERSON COMMONS DR,33613
1272117,2020-822786          ,BATTERY,BATTERY-SIMPLE,12/21/2020,4100 BLOCK SKIPPER RD,33613
1278944,2021-55712           ,FRAUD,FRAUD-CREDIT CARD,1/26/2021,13800 BLOCK AZALEA CR,33613
1279562,2021-63739           ,TRAFFIC,Property Damage,1/29/2021,30TH ST N  /  BEARSS AV E,33613
1275712,2021-19570           ,BATTERY,BATTERY-SIMPLE,1/9/2021,13800 BLOCK AZALEA CR,33613
1276030,2021-23016           ,BATTERY,BATTERY-SIMPLE,1/11/2021,1900 BLOCK 137TH AV E,33613
1043590,2018-83523           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,2/3/2018,13800 BLOCK AZALEA CR,33613
1045422,2018-101699          ,TRAFFIC,Property Damage,2/11/2018,FLETCHER AV E / USF MAGNOLIA DR,33613
1048485,2018-134326          ,TRAFFIC,Property Damage,2/23/2018,BEARSS AV E / PRISM CR,33613
1050420,2018-152188          ,THEFT,SHOPLIFTING,3/2/2018,13600 BLOCK UNIVERSITY PZ,33613
1051293,2018-159558          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,3/6/2018,4000 BLOCK ROCKY CR,33613
1054081,2018-188606          ,DUI,DUI (DRIVING UNDER INFLUENCE),3/17/2018,1200 BLOCK SKIPPER RD,33613
1059245,2018-239801          ,BATTERY,BATTERY-SIMPLE,4/7/2018,14300 BLOCK LUCERNE DR,33613
1062674,2018-276626          ,DRUGS,DRUG PARAPHERNALIA,4/21/2018,14900 BLOCK FLORIDA AV N,33613
1062740,2018-276807          ,THEFT,SHOPLIFTING,4/21/2018,13600 BLOCK UNIVERSITY PZ,33613
1064054,2018-292366          ,DRUGS,DRUGS/NARCOTICS,4/27/2018,13600 BLOCK UNIVERSITY PZ,33613
1064609,2018-296621          ,THEFT,SHOPLIFTING,4/29/2018,13600 BLOCK UNIVERSITY PZ,33613
1064698,2018-297658          ,TRAFFIC,Property Damage,4/30/2018,FLETCHER AV W / GREENTREE DR,33612
1066524,2018-317026          ,TRAFFIC,Property Damage,5/7/2018,BRUCE B DOWNS BL / LAKE FOREST DR,33613
1069713,2018-348048          ,DRUGS,DRUGS/NARCOTICS,5/20/2018,18TH ST N / BEARSS AV E,33613
1073417,2018-391332          ,THEFT,SHOPLIFTING,6/6/2018,15300 BLOCK NEBRASKA AV N,33613
1074250,2018-398001          ,DUI,DUI (DRIVING UNDER INFLUENCE),6/9/2018,FLORIDA AV N / LAKE MAGDALENE BL,33549
1073268,2018-388509          ,TRAFFIC,Property Damage,6/5/2018,BRUCE B DOWNS BL / COVE BEND DR,33613
1072226,2018-374944          ,THEFT,SHOPLIFTING,5/31/2018,14500 BLOCK NEBRASKA AV N,33613
1075289,2018-412042          ,DRUGS,DRUGS/NARCOTICS,6/14/2018,14000 BLOCK NEPHI PL,33613
1077267,2018-435235          ,BURGLARY,BURGLARY RESIDENCE / FORCED,6/23/2018,13700 BLOCK SUSAN KAY DR,33613
1077350,2018-433328          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,6/23/2018,100 BLOCK NEVING DR,33613
1080244,2018-467874          ,BATTERY,BATTERY-SIMPLE,7/7/2018,3100 BLOCK GRAND PAVILION DR,33613
1081864,2018-489357          ,BATTERY,BATTERY-AGGRAVATED,7/15/2018,3100 BLOCK GRAND PAVILION DR,33613
1082070,2018-491654          ,BATTERY,BATTERY-SIMPLE,7/16/2018,14000 BLOCK SAN CASA PL,33613
1084821,2018-521646          ,ROBBERY,PERSON - ROBBERY,7/28/2018,LIVINGSTON AV / BEARSS AV E,33559
1085800,2018-532519          ,THEFT,SHOPLIFTING,8/2/2018,13500 BLOCK UNIVERSITY PZ,33613
1084483,2018-519323          ,THEFT,SHOPLIFTING,7/27/2018,15300 BLOCK NEBRASKA AV N,33613
1082780,2018-498840          ,THEFT,SHOPLIFTING,7/19/2018,13600 BLOCK UNIVERSITY PZ,33613
1080696,2018-473954          ,TRAFFIC,Non Incapacitating Injury,7/9/2018,NEBRASKA AV N / SKIPPER RD,33613
1088585,2018-561972          ,DRUGS,DRUGS/NARCOTICS,8/14/2018,15TH ST N / FLETCHER REGENCY DR,33613
1088943,2018-566956          ,THEFT,SHOPLIFTING,8/16/2018,15300 BLOCK NEBRASKA AV N,33613
1089707,2018-573785          ,ASSAULT,AGGRAVATED ASSAULT,8/19/2018,13700 BLOCK SUSAN KAY DR,33613
1090417,2018-581520          ,TRAFFIC,Property Damage,8/22/2018,BRUCE B DOWNS BL / 138TH AV E,33613
1090543,2018-584390          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,8/23/2018,14300 BLOCK HENSEL LN,33613
