OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
857964,2016-32058           ,TRAFFIC,Non Incapacitating Injury,1/14/2016,FLETCHER AV W / ARMENIA AV N,33613
858000,2016-31860           ,TRAFFIC,Property Damage,1/14/2016,BRUCE B DOWNS BL / 138TH AV E,33613
858001,2016-33241           ,TRAFFIC,Non Incapacitating Injury,1/14/2016,FLETCHER AV E / FLORIDA AV N,33613
858002,2016-33327           ,TRAFFIC,Property Damage,1/14/2016,BEARSS AV E / NEBRASKA AV N,33549
858004,2016-33421           ,TRAFFIC,Property Damage,1/14/2016,FLETCHER AV E / FLORIDA AV N,33613
858027,2016-33683           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/14/2016,13500 BLOCK FLETCHER REGENCY DR,33613
858063,2016-33060           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/14/2016,1900 BLOCK FLETCHER AV E,33612
858081,2016-32331           ,THEFT,SHOPLIFTING,1/14/2016,800 BLOCK BEARSS AV W,33613
858141,2016-31624           ,BATTERY,BATTERY-SIMPLE,1/14/2016,14600 BLOCK 43RD ST N,33613
858272,2016-35546           ,BATTERY,BATTERY-SIMPLE,1/15/2016,143RD AV E / 18TH ST N,33613
858317,2016-35308           ,TRAFFIC,Property Damage,1/15/2016,BRUCE B DOWNS BL / BEARSS AV E,33613
858318,2016-35461           ,TRAFFIC,Property Damage,1/15/2016,BRUCE B DOWNS BL / SKIPPER RD,33613
858327,2015-564339          ,TRAFFIC,Property Damage,1/15/2016,FLETCHER AV E / BRUCE B DOWNS BL,33613
858369,2016-35184           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/15/2016,13800 BLOCK AZALEA CR,33613
858382,2015-409800          ,TRAFFIC,Property Damage,1/15/2016,BRIARWOOD AV / BOULEVARD N,33613
858383,2015-419973          ,TRAFFIC,Property Damage,1/15/2016,BEARSS AV E / GREGORY DR,33613
858384,2015-484681          ,TRAFFIC,Property Damage,1/15/2016,FLETCHER AV E / BRUCE B DOWNS BL,33613
858400,2016-36340           ,BATTERY,BATTERY-SIMPLE,1/15/2016,2200 BLOCK FLETCHER AV E,33612
858469,2016-37592           ,THEFT,THEFT OF BICYCLE,1/16/2016,900 BLOCK 139TH AV E,33613
858487,2016-37219           ,TRAFFIC,Non Incapacitating Injury,1/16/2016,FLETCHER AV E / 19TH ST N,33613
858490,2016-37177           ,TRAFFIC,Property Damage,1/16/2016,FLETCHER AV E / 12TH ST N,33612
858549,2016-37069           ,BATTERY,BATTERY-SIMPLE,1/16/2016,13600 BLOCK PLATTE CREEK CR,33613
858586,2016-36436           ,BATTERY,BATTERY-SIMPLE,1/16/2016,14500 BLOCK SEAFORD CR,33613
858635,2016-37629           ,BATTERY,BATTERY-SIMPLE,1/16/2016,14400 BLOCK AMERICANA CR,33613
858676,2016-40002           ,THEFT,SHOPLIFTING,1/17/2016,13600 BLOCK UNIVERSITY PZ,33613
858713,2016-39945           ,TRAFFIC,Property Damage,1/17/2016,BRUCE B DOWNS BL / 42ND ST N,33613
858731,2016-39270           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/17/2016,4100 BLOCK MONTICELLO GARDENS PL,33613
858786,2016-40615           ,BATTERY,BATTERY-SIMPLE,1/18/2016,3600 BLOCK PALM CROSSING DR,33613
858827,2016-42419           ,DRUGS,DRUGS/NARCOTICS,1/18/2016,20TH ST N / 142ND AV E,33613
858838,2016-41758           ,HARASS,HARASSING/OBSCENE,1/18/2016,900 BLOCK TERRA MAR DR,33613
858855,2016-41357           ,TRAFFIC,Non Incapacitating Injury,1/18/2016,FLETCHER AV W / BOULEVARD N,33612
858856,2016-41151           ,TRAFFIC,Property Damage,1/18/2016,BRUCE B DOWNS BL / SKIPPER RD,33613
858859,2016-41743           ,TRAFFIC,Property Damage,1/18/2016,SKIPPER RD / BRUCE B DOWNS BL,33613
858868,2016-40592           ,BATTERY,BATTERY-SIMPLE,1/18/2016,1500 BLOCK 138TH AV E,33613
858887,2016-41802           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/18/2016,19TH ST N / 136TH AV E,33613
858889,2016-41926           ,THEFT,THEFT MOTOR VEHICLE PARTS,1/18/2016,1900 BLOCK PINE LOCH TR,33613
858893,2016-40918           ,BURGLARY,BURGLARY OTHER STRUCTURE,1/18/2016,2200 BLOCK SPRING GLADE CR N,33613
858959,2016-42302           ,BATTERY,BATTERY-SIMPLE,1/18/2016,2500 BLOCK BEARSS AV E,33613
858970,2016-41240           ,THEFT,THEFT OF BICYCLE,1/18/2016,3700 BLOCK JEFFERSON COMMONS DR,33613
859028,2016-43710           ,THEFT,PURSE SNATCHING,1/19/2016,1500 BLOCK 138TH AV E,33613
859068,2016-43487           ,THEFT,PURSE SNATCHING,1/19/2016,136TH AV E / 20TH ST N,33613
859147,2016-43798           ,FRAUD,FRAUD-IMPERSONATION,1/19/2016,15100 BLOCK FLORIDA AV N,33613
859179,2016-44194           ,HARASS,HARASSING/OBSCENE,1/19/2016,14600 BLOCK GRENADINE DR,33613
859237,2016-46203           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/20/2016,4200 BLOCK FLETCHER AV E,33613
859310,2016-46459           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/20/2016,1900 BLOCK FLETCHER AV E,33612
859339,2016-47245           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/20/2016,1500 BLOCK 140TH AV E,33613
859354,2016-46478           ,THEFT,THEFT MOTOR VEHICLE PARTS,1/20/2016,2200 BLOCK FLETCHERS POINT CR,33613
859364,2016-47528           ,DUI,DUI (DRIVING UNDER INFLUENCE),1/20/2016,800 BLOCK BEARSS AV W,33613
859374,2016-46395           ,THEFT,SHOPLIFTING,1/20/2016,13600 BLOCK UNIVERSITY PZ,33613
859409,2016-47068           ,THEFT,THEFT OF BICYCLE,1/20/2016,100 BLOCK FLORAL DR,33613
859433,2016-46287           ,THEFT,SHOPLIFTING,1/20/2016,13600 BLOCK UNIVERSITY PZ,33613
859443,2016-47065           ,DRUGS,DRUGS/NARCOTICS,1/20/2016,15TH ST N / 140TH AV E,33613
859450,2016-47568           ,BATTERY,BATTERY-SIMPLE,1/20/2016,1500 BLOCK 139TH AV E,33613
859452,2016-47634           ,DRUGS,DRUGS/NARCOTICS,1/20/2016,800 BLOCK ORANGE AV E,33613
859458,2016-46187           ,BATTERY,BATTERY-SIMPLE,1/20/2016,1000 BLOCK BEARSS AV W,33613
859472,2016-46250           ,BURGLARY,THEFT FROM A VEHICLE,1/20/2016,1800 BLOCK FLETCHER AV E,33612
859482,2016-47260           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/20/2016,142ND AV E / 12TH ST N,33613
859487,2016-48442           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/21/2016,1900 BLOCK FLETCHER AV E,33612
859540,2016-48354           ,BATTERY,BATTERY-SIMPLE,1/21/2016,14400 BLOCK AUDUBON TC,33613
859653,2016-48723           ,THEFT,SHOPLIFTING,1/21/2016,13600 BLOCK UNIVERSITY PZ,33613
859750,2016-50908           ,BURGLARY,THEFT FROM A VEHICLE,1/22/2016,1200 BLOCK SKIPPER RD,33613
859755,2016-51258           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/22/2016,1800 BLOCK 139TH AV E,33613
859766,2016-52044           ,ROBBERY,BUSINESS ROBBERY,1/22/2016,13600 BLOCK UNIVERSITY PZ,33613
859792,2016-49205           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/22/2016,3400 BLOCK JEFFERSON COMMONS DR,33613
859822,2016-52600           ,TRAFFIC,Property Damage,1/22/2016,BRUCE B DOWNS BL / COVE BEND DR,33613
859878,2016-52397           ,BATTERY,BATTERY-SIMPLE,1/22/2016,1800 BLOCK 143RD AV E,33613
859879,2016-52397           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/22/2016,1800 BLOCK 143RD AV E,33613
860023,2016-54661           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/23/2016,900 BLOCK LAKEWOOD AV,33613
860086,2016-54654           ,TRAFFIC,Property Damage,1/23/2016,FLETCHER AV E / 42ND ST N,33613
860116,2016-53345           ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,1/23/2016,15500 BLOCK WOODFAIR PL,33613
860136,2016-54683           ,ASSAULT,AGGRAVATED ASSAULT,1/23/2016,3900 BLOCK ROCKY CR,33613
860165,2016-53662           ,ROBBERY,BUSINESS ROBBERY,1/23/2016,15300 BLOCK NEBRASKA AV N,33613
860166,2016-53662           ,THEFT,SHOPLIFTING,1/23/2016,15300 BLOCK NEBRASKA AV N,33613
860222,2016-55896           ,TRAFFIC,Property Damage,1/24/2016,FLETCHER AV W / BOULEVARD N,33612
860240,2016-55500           ,BURGLARY,THEFT FROM A VEHICLE,1/24/2016,13500 BLOCK AVALON HEIGHTS BL,33613
860248,2016-55948           ,FRAUD,FRAUD-SWINDLE,1/24/2016,13600 BLOCK UNIVERSITY PZ,33613
860321,2016-55922           ,THEFT,THEFT VEHICLE & OTHER MOBILE,1/24/2016,200 BLOCK WINDWOOD OAKS DR,33613
860331,2016-56536           ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,1/24/2016,14400 BLOCK HENSEL LN,33613
860386,2016-57819           ,THEFT,SHOPLIFTING,1/25/2016,13600 BLOCK UNIVERSITY PZ,33613
860408,2016-57521           ,THEFT,THEFT FROM A BUILDING,1/25/2016,14000 BLOCK 22ND ST N,33613
860475,2016-058902          ,TRAFFIC,Property Damage,1/25/2016,NEBRASKA AV N / 138TH AV E,33613
860484,2016-59173           ,THEFT,THEFT FROM A BUILDING,1/25/2016,1100 BLOCK FLETCHER AV E,33612
860575,2016-58436           ,DRUGS,DRUGS/NARCOTICS,1/25/2016,1500 BLOCK 138TH AV E,33613
860636,2016-61034           ,DRUGS,DRUGS/NARCOTICS,1/26/2016,1800 BLOCK FLETCHER AV E,33612
860651,2016-61102           ,THEFT,SHOPLIFTING,1/26/2016,13600 BLOCK UNIVERSITY PZ,33613
860666,2016-59794           ,TRAFFIC,Property Damage,1/26/2016,BEARSS AV E / 30TH ST N,33559
860673,2016-60234           ,TRAFFIC,Property Damage,1/26/2016,BRUCE B DOWNS BL / GRAND PAVILION DR,33613
860677,2016-60297           ,TRAFFIC,Property Damage,1/26/2016,FLETCHER AV W / ROME AV N,33613
860680,2016-61319           ,TRAFFIC,Non Incapacitating Injury,1/26/2016,BRUCE B DOWNS BL / LAKESIDE COMMONS DR,33613
860730,2016-60239           ,THEFT,GRAND THEFT - ALL OTHER,1/26/2016,1300 BLOCK HAVEN BN,33613
860770,2016-60074           ,BATTERY,BATTERY-SIMPLE,1/26/2016,142ND AV E / 15TH ST N,33613
860776,2016-60444           ,BATTERY,BATTERY-SIMPLE,1/26/2016,4300 BLOCK SHIRE CT,33613
860793,2016-57979           ,BATTERY,BATTERY-SIMPLE,1/26/2016,13700 BLOCK 21ST ST N,33613
860812,2016-60974           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/26/2016,13700 BLOCK 20TH ST N,33613
860825,2016-59275           ,BATTERY,BATTERY-SIMPLE,1/26/2016,1800 BLOCK 143RD AV E,33613
860889,2016-62578           ,FRAUD,FRAUD-CREDIT CARD,1/27/2016,1800 BLOCK 142ND AV E,33613
860991,2016-063587          ,TRAFFIC,Non Incapacitating Injury,1/27/2016,FLETCHER AV E / USF MAGNOLIA DR,33613
860995,2016-63647           ,TRAFFIC,Non Incapacitating Injury,1/27/2016,15TH ST N / FLETCHER AV E,33612
861001,2016-63952           ,TRAFFIC,Property Damage,1/27/2016,FLORIDA AV N / FLETCHER AV E,33613
861006,2016-63448           ,TRAFFIC,Property Damage,1/27/2016,BRUCE B DOWNS BL / COVE BEND DR,33613
861011,2016-63286           ,TRAFFIC,Property Damage,1/27/2016,BEARSS AV E / I275 N BEARSS RP,33613
861029,2016-63553           ,TRAFFIC,Property Damage,1/27/2016,BRUCE B DOWNS BL / GRAND PAVILION DR,33613
861031,2016-63158           ,TRAFFIC,Property Damage,1/27/2016,FLETCHER AV E / 15TH ST N,33612
861047,2016-62821           ,FRAUD,FRAUD-IMPERSONATION,1/27/2016,800 BLOCK EVENINGSIDE CT,33613
861052,2016-62249           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/27/2016,1500 BLOCK 139TH AV E,33613
861081,2016-63204           ,BATTERY,BATTERY-SIMPLE,1/27/2016,2200 BLOCK FLETCHER AV E,33612
861145,2016-62411           ,DRUGS,DRUGS/NARCOTICS,1/27/2016,13600 BLOCK 12TH ST N,33613
861149,2016-62884           ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,1/27/2016,1700 BLOCK 143RD AV E,33613
861150,2016-62884           ,BATTERY,BATTERY ON ELDERLY - SIMPLE,1/27/2016,1700 BLOCK 143RD AV E,33613
861158,2016-63826           ,BATTERY,BATTERY-SIMPLE,1/27/2016,1200 BLOCK SKIPPER RD,33613
861159,2016-63826           ,DRUGS,DRUGS/NARCOTICS,1/27/2016,1200 BLOCK SKIPPER RD,33613
861187,2016-65132           ,THEFT,GRAND THEFT - ALL OTHER,1/28/2016,14900 BLOCK WEDGEWOOD PL,33613
861212,2016-66383           ,BATTERY,BATTERY-SIMPLE,1/28/2016,13800 BLOCK 19TH ST N,33613
861252,2016-65578           ,TRAFFIC,Property Damage,1/28/2016,FLETCHER AV E / 20TH ST N,33612
861257,2016-66446           ,TRAFFIC,Incapacitating,1/28/2016,FLETCHER AV E / 20TH ST N,33612
861272,2016-64528           ,TRAFFIC,Property Damage,1/28/2016,FLETCHER AV E / 19TH ST N,33613
861352,2016-65621           ,THEFT,THEFT OF BICYCLE,1/28/2016,14000 BLOCK NEBRASKA AV N,33613
861381,2016-64262           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/28/2016,1200 BLOCK AUTUMN DR,33613
861422,2016-66083           ,ROBBERY,BUSINESS ROBBERY,1/28/2016,2500 BLOCK BEARSS AV E,33613
861437,2016-65449           ,DRUGS,DRUG TRAFFICKING/DELIVERY,1/28/2016,13700 BLOCK SUSAN KAY DR,33613
861473,2016-68190           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/29/2016,1100 BLOCK TEAKWOOD AV,33613
861488,2016-68546           ,FRAUD,FRAUD-OTHER,1/29/2016,100 BLOCK BEARSS AV E,33613
861557,2016-68770           ,TRAFFIC,Non Incapacitating Injury,1/29/2016,NEBRASKA AV N / FLETCHER AV E,33613
861558,2016-068771          ,TRAFFIC,Property Damage,1/29/2016,BRUCE B DOWNS BL / BEARSS AV E,33613
861563,2016-66973           ,TRAFFIC,Property Damage,1/29/2016,20TH ST N / FLETCHER AV E,33612
861573,2016-68247           ,TRAFFIC,Non Incapacitating Injury,1/29/2016,BEARSS AV W / FLORIDA AV N,33613
861581,2016-68240           ,TRAFFIC,Property Damage,1/29/2016,FLETCHER AV W / FLORIDA AV N,33613
861619,2016-68740           ,ROBBERY,HOME INVASION,1/29/2016,14000 BLOCK SANDY CT,33613
861623,2016-67903           ,ASSAULT,AGGRAVATED ASSAULT,1/29/2016,2000 BLOCK FLETCHER AV E,33612
861625,2016-67903           ,DRUGS,DRUG PARAPHERNALIA,1/29/2016,2000 BLOCK FLETCHER AV E,33612
861627,2016-68650           ,FRAUD,FRAUD-OTHER,1/29/2016,14200 BLOCK CHOCTAW VLG DR,33613
861658,2016-68322           ,BATTERY,BATTERY-SIMPLE,1/29/2016,13800 BLOCK CYPRESS WY,33613
861671,2016-66694           ,ASSAULT,AGGRAVATED ASSAULT,1/29/2016,14600 BLOCK BRUCE B DOWNS BL,33613
861737,2016-70601           ,BURGLARY,BURGLARY RESIDENCE / FORCED,1/30/2016,4200 BLOCK MONTICELLO GARDENS PL,33613
861758,2016-70227           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,1/30/2016,1500 BLOCK 139TH AV E,33613
861778,2016-69732           ,TRAFFIC,Property Damage,1/30/2016,4000 BLOCK ROCKY CR,33613
